Wavenumber(cm^-1)   Wavelength(nm)  Electronvolts(eV)   Intensity(normalised)
 23604.23829813    423.65271996      2.92655363      0.09851219
 23614.24330064    423.47322462      2.92779409      0.10135504
 23624.24830314    423.29388132      2.92903455      0.10424666
 23634.25330564    423.11468986      2.93027502      0.10718429
 23644.25830814    422.93565005      2.93151548      0.11016493
 23654.26331064    422.75676170      2.93275594      0.11318537
 23664.26831314    422.57802461      2.93399641      0.11624216
 23674.27331564    422.39943859      2.93523687      0.11933162
 23684.27831814    422.22100345      2.93647733      0.12244983
 23694.28332065    422.04271901      2.93771779      0.12559266
 23704.28832315    421.86458506      2.93895826      0.12875572
 23714.29332565    421.68660142      2.94019872      0.13193441
 23724.29832815    421.50876790      2.94143918      0.13512391
 23734.30333065    421.33108431      2.94267964      0.13831918
 23744.30833315    421.15355045      2.94392011      0.14151498
 23754.31333565    420.97616615      2.94516057      0.14470587
 23764.31833815    420.79893121      2.94640103      0.14788623
 23774.32334066    420.62184544      2.94764149      0.15105026
 23784.32834316    420.44490865      2.94888196      0.15419202
 23794.33334566    420.26812066      2.95012242      0.15730541
 23804.33834816    420.09148128      2.95136288      0.16038424
